time = 	1
x	y	z	u*	u	|u* - u|
			-0,737393715541245	-0,632516769640203	0,104876945901043
2,4	2,4	1,4	-0,737393715541245	-0,632516769638524	0,104876945902721
			0,169967142900241	0,16885648229619	0,00111066060405077
			-0,737393715541245	-0,609038174104275	0,128355541436971
2,4	3,4	1,4	-0,966798192579461	-0,839543355801789	0,127254836777672
			0,169967142900241	0,168856482304643	0,00111066059559842
			-0,737393715541245	-0,603449025386015	0,133944690155231
1,4	1,4	2,4	0,169967142900241	0,16885648230276	0,00111066059748058
			-0,737393715541245	-0,632516769639291	0,104876945901954
			0,169967142900241	0,161670384598537	0,00829675830170365
1,4	2,4	2,4	-0,737393715541245	-0,609038174103724	0,128355541437522
			-0,737393715541245	-0,632516769645729	0,104876945895516
			0,169967142900241	0,168856482302431	0,00111066059781009
1,4	3,4	2,4	-0,966798192579461	-0,81156856958201	0,155229622997451
			-0,737393715541245	-0,632516769627525	0,104876945913721
			0,169967142900241	0,170753223534151	0,000786080633909753
2,4	1,4	2,4	0,169967142900241	0,168856482297762	0,00111066060247864
			-0,737393715541245	-0,609038174108759	0,128355541432487
			-0,737393715541245	-0,632516769640434	0,104876945900812
2,4	2,4	2,4	-0,737393715541245	-0,609038174100737	0,128355541440509
			-0,737393715541245	-0,609038174111053	0,128355541430192
			-0,737393715541245	-0,609038174102235	0,128355541439011
2,4	3,4	2,4	-0,966798192579461	-0,811568569579428	0,155229623000033
			-0,737393715541245	-0,609038174093452	0,128355541447794
			-0,737393715541245	-0,603449025382295	0,133944690158951
1,4	1,4	3,4	0,169967142900241	0,170753223538184	0,000786080637943137
			-0,966798192579461	-0,839543355799095	0,127254836780367
			0,169967142900241	0,16167038460154	0,00829675829870133
1,4	2,4	3,4	-0,737393715541245	-0,603449025379169	0,133944690162076
			-0,966798192579461	-0,839543355804651	0,12725483677481
			0,169967142900241	0,168856482303544	0,00111066059669671
1,4	3,4	3,4	-0,966798192579461	-0,805402968880558	0,161395223698904
			-0,966798192579461	-0,839543355790329	0,127254836789132
			0,169967142900241	0,170753223539734	0,000786080639493231
2,4	1,4	3,4	0,169967142900241	0,170753223533961	0,000786080633720238
			-0,966798192579461	-0,811568569583531	0,15522962299593
			-0,737393715541245	-0,632516769631762	0,104876945909484
2,4	2,4	3,4	-0,737393715541245	-0,603449025378043	0,133944690163203
			-0,966798192579461	-0,811568569587685	0,155229622991776
			-0,737393715541245	-0,609038174086013	0,128355541455232
2,4	3,4	3,4	-0,966798192579461	-0,805402968876187	0,161395223703274
			-0,966798192579461	-0,811568569572672	0,155229623006789
			-0,737393715541245	-0,603449025373905	0,133944690167341
1,4	1,4	4,4	0,169967142900241	0,169488729383851	0,000478413516390247
			-0,307332869978419	-0,27132748570888	0,0360053842695395
			0,169967142900241	0,161670384596501	0,00829675830373997
1,4	2,4	4,4	-0,737393715541245	-0,607175124522003	0,130218591019243
			-0,307332869978419	-0,271327485717492	0,0360053842609278
			0,169967142900241	0,168856482300803	0,00111066059943768
1,4	3,4	4,4	-0,966798192579461	-0,809513369342747	0,157284823236714
			-0,307332869978419	-0,271327485702666	0,0360053842757532
			0,169967142900241	0,170753223535289	0,000786080635048203
2,4	1,4	4,4	0,169967142900241	0,16948872938112	0,000478413519120841
			-0,307332869978419	-0,257638432321096	0,0496944376573229
			-0,737393715541245	-0,632516769641333	0,104876945899912
2,4	2,4	4,4	-0,737393715541245	-0,607175124517211	0,130218591024034
			-0,307332869978419	-0,257638432337463	0,0496944376409567
			-0,737393715541245	-0,609038174103263	0,128355541437983
2,4	3,4	4,4	-0,966798192579461	-0,809513369337719	0,157284823241742
			-0,307332869978419	-0,257638432321539	0,0496944376568799
			-0,737393715541245	-0,603449025380224	0,133944690161022
time = 	2,5
x	y	z	u*	u	|u* - u|
1,4	1,4	1,4	0,169967142900241	0,162372166460049	0,0075949764401918
			0,169967142900241	0,162372166458718	0,00759497644152352
			0,169967142900241	0,162372166458801	0,0075949764414403
1,4	2,4	1,4	-0,737393715541245	-0,630450800909738	0,106942914631508
			0,169967142900241	0,162372166454449	0,00759497644579218
			0,169967142900241	0,171042819384233	0,00107567648399212
1,4	3,4	1,4	-0,966798192579461	-0,837153496305946	0,129644696273515
			0,169967142900241	0,162372166467945	0,00759497643229604
			0,169967142900241	0,173587384281147	0,0036202413809063
2,4	1,4	1,4	0,169967142900241	0,162372166457456	0,00759497644278517
			0,169967142900241	0,171042819385201	0,00107567648496015
			-0,737393715541245	-0,63045080091005	0,106942914631196
2,4	2,4	1,4	-0,737393715541245	-0,630450800905039	0,106942914636206
			0,169967142900241	0,171042819382374	0,00107567648213322
			-0,737393715541245	-0,602587727111428	0,134805988429818
2,4	3,4	1,4	-0,966798192579461	-0,837153496313828	0,129644696265633
			0,169967142900241	0,171042819390392	0,00107567649015064
