time = 	1
x	y	z	u*	u	|u* - u|
			11,56	11,5609374977145	0,000937497714486923
			1,96	1,96093748955942	0,000937489559423854
1,4	3,4	3,4	11,56	11,5609375024409	0,000937502440864435
			11,56	11,5609374953746	0,000937495374607522
			1,96	1,96093749117129	0,00093749117128783
2,4	1,4	3,4	1,96	1,96093749978826	0,000937499788261187
			11,56	11,5609375246397	0,000937524639713416
			5,76	5,76093749672318	0,000937496723179443
2,4	2,4	3,4	5,76	5,76093752027562	0,000937520275616777
			11,56	11,5609375024053	0,000937502405275126
			5,76	5,76093750665247	0,000937506652475051
2,4	3,4	3,4	11,56	11,5609375360613	0,000937536061339728
			11,56	11,5609374945519	0,000937494551866536
			5,76	5,76093751378182	0,000937513781821053
1,4	1,4	4,4	1,96	1,96093749292199	0,000937492921989636
			19,36	19,3609375531897	0,000937553189647389
			1,96	1,96093752120079	0,00093752120078805
1,4	2,4	4,4	5,76	5,76093748279347	0,000937482793471389
			19,36	19,3609374988597	0,000937498859684638
			1,96	1,96093751430289	0,000937514302890241
1,4	3,4	4,4	11,56	11,5609374911739	0,000937491173932159
			19,36	19,3609375000739	0,000937500073916908
			1,96	1,96093747975731	0,000937479757312065
2,4	1,4	4,4	1,96	1,96093749839744	0,000937498397435732
			19,36	19,3609375509011	0,000937550901120687
			5,76	5,76093753527068	0,000937535270677081
2,4	2,4	4,4	5,76	5,76093750718601	0,000937507186005604
			19,36	19,3609374971103	0,000937497110310659
			5,76	5,7609374802866	0,00093748028660201
2,4	3,4	4,4	11,56	11,5609375079911	0,000937507991087827
			19,36	19,3609374997212	0,000937499721217705
			5,76	5,76093743160867	0,000937431608670991
time = 	1,5
x	y	z	u*	u	|u* - u|
1,4	1,4	1,4	2,94	2,94140619538765	0,00140619538764675
			2,94	2,94140621742169	0,001406217421692
			2,94	2,94140623399691	0,00140623399690742
1,4	2,4	1,4	8,64	8,64140624037488	0,00140624037487846
			2,94	2,94140624857083	0,00140624857083438
			2,94	2,94140622875245	0,00140622875244567
1,4	3,4	1,4	17,34	17,3414062339672	0,00140623396717032
			2,94	2,94140622081148	0,00140622081147734
			2,94	2,9414062073887	0,00140620738869801
2,4	1,4	1,4	2,94	2,94140627073799	0,00140627073799138
			2,94	2,94140622216317	0,0014062221631721
			8,64	8,64140624222358	0,00140624222358277
2,4	2,4	1,4	8,64	8,6414062811655	0,00140628116549557
			2,94	2,94140624097585	0,0014062409758524
			8,64	8,64140624002783	0,00140624002783341
2,4	3,4	1,4	17,34	17,3414062996455	0,0014062996455344
			2,94	2,94140625055083	0,00140625055083365
			8,64	8,64140624354894	0,00140624354893504
1,4	1,4	2,4	2,94	2,94140617284507	0,00140617284507094
			8,64	8,64140619604999	0,00140619604998449
			2,94	2,9414062311276	0,00140623112759686
1,4	2,4	2,4	8,64	8,64140614659784	0,00140614659784433
			8,64	8,64140624138656	0,00140624138655809
			2,94	2,94140617666017	0,00140617666016851
1,4	3,4	2,4	17,34	17,3414061110273	0,00140611102735022
			8,64	8,64140621499118	0,00140621499118154
			2,94	2,94140618168309	0,00140618168309148
2,4	1,4	2,4	2,94	2,94140625939425	0,00140625939424588
			8,64	8,64140615606709	0,00140615606709282
			8,64	8,64140621760954	0,00140621760953508
2,4	2,4	2,4	8,64	8,64140623910605	0,00140623910604987
			8,64	8,64140625947272	0,00140625947271822
			8,64	8,64140614448531	0,00140614448531196
2,4	3,4	2,4	17,34	17,3414062652985	0,00140626529848831
			8,64	8,64140625464885	0,00140625464884891
			8,64	8,64140616346251	0,00140616346250688
1,4	1,4	3,4	2,94	2,94140621420157	0,00140621420156561
			17,34	17,3414062973062	0,001406297306211
			2,94	2,94140622890068	0,00140622890067688
1,4	2,4	3,4	8,64	8,64140617779845	0,00140617779845442
			17,34	17,341406242112	0,00140624211196538
			2,94	2,94140622081914	0,00140622081913744
1,4	3,4	3,4	17,34	17,3414062272365	0,00140622723654715
			17,34	17,3414062352482	0,0014062352482398
